"Name","Age","id","Total Sales","Total Quantity","Total Profit","Category","Products"
"Beth Fritzler",21,"BF-11275","791.990","11","25.8702","Furniture,Office Supplies,Technology","Belkin 7-Outlet SurgeMaster Home Series,Office Star - Mesh Screen back chair with Vinyl seat,Polycom SoundPoint IP 450 VoIP phone,Xerox 1951"
"Barry Gonzalez",57,"BG-11035","2798.948","35","-711.4274","Furniture,Office Supplies,Technology","Apple EarPods with Remote and Mic,Fellowes Stor/Drawer Steel Plus Storage Drawers,GBC Ibimaster 500 Manual ProClick Binding System,Global Stack Chair with Arms  Black,Gould Plastics 18-Pocket Panel Bin  34w x 5-1/4d x 20-1/2h,Newell 318,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Sanford 52201 APSCO Electric Pencil Sharpener,Staple remover,Stockwell Push Pins,TOPS Voice Message Log Book  Flash Format,Xerox 1909"
"Brooke Gillingham",46,"BG-11695","1874.172","24","107.5715","Furniture,Office Supplies,Technology","#10- 4 1/8 x 9 1/2 Recycled Envelopes,Aluminum Document Frame,Canon Imageclass D680 Copier / Fax,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Global Managers Adjustable Task Chair  Storm,Newell 34,Staple holder,Wilson Jones data.warehouse D-Ring Binders with DublLock"
"Bruce Geld",39,"BG-11740","1006.356","22","119.3479","Furniture,Office Supplies,Technology","Avery 476,BOSTON Ranger #55 Pencil Sharpener  Black,DAX Wood Document Frame,Executive Impressions 10 Spectator Wall Clock,Panasonic KX TS3282W Corded phone,SAFCO PlanMaster Boards  60w x 37-1/2d  White Melamine,Tenex Personal Project File with Scoop Front Design  Black"
"Brosina Hoffman",20,"BH-11710","6255.351","97","802.7898","Furniture,Office Supplies,Technology","#10- 4 1/8 x 9 1/2 Security-Tint Envelopes,Advantus Push Pins  Aluminum Head,Avery Durable Slant Ring Binders With Label Holder,Belkin F5C206VTEL 6 Outlet Surge,Chromcraft Rectangular Conference Tables,DAX Wood Document Frame.,DXL Angle-View Binders with Locking Rings by Samsill,Eldon Expressions Wood and Plastic Desk Accessories  Cherry Wood,Eureka The Boss Lite 10-Amp Upright Vacuum  Blue,GBC ProClick Punch Binding System,Global Commerce Series High-Back Swivel/Tilt Chairs,Ibico Presentation Index for Binding Systems,iHome FM Clock Radio with Lightning Dock,KeyTronic KT800P2 - Keyboard - Black,Konftel 250 Conference phone Charcoal black,Memorex Micro Travel Drive 8 GB,Mitel 5320 IP Phone VoIP phone,Newell 322,Pyle PMP37LED,Sanford Colorific Colored Pencils  12/Box,Texas Instruments TI-34 Scientific Calculator,Wirebound Message Books  Four 2 3/4 x 5 Forms per Page  200 Sets per Book,Xerox 1931,Xerox 194"
"Berenike Kampe",37,"BK-11260","659.138","58","-63.7644","Furniture,Office Supplies,Technology","Acme Box Cutter Scissors,Acme Elite Stainless Steel Scissors,Bionaire 99.97% HEPA Air Cleaner,Eldon Regeneration Recycled Desk Accessories  Smoke,Fiskars Softgrip Scissors,GBC Imprintable Covers,Ibico Covers for Plastic or Wire Binding Elements,KI Adjustable-Height Table,Nu-Dell Float Frame 11 x 14 1/2,Rogers Deluxe File Chest,Self-Adhesive Address Labels for Typewriters by Universal,Shocksock Galaxy S4 Armband,Staple magnet,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  10/Pack,Wirebound Message Books  5-1/2 x 4 Forms  2 or 4 Forms per Page,Xerox 1884"
"Becky Martin",67,"BM-11140","11789.630","64","-1659.9581","Furniture,Office Supplies,Technology","BIC Brite Liner Highlighters,Carina Media Storage Towers in Natural & Black,Easy-staple paper,Eldon Delta Triangular Chair Mat  52 x 58  Clear,Enermax Aurora Lite Keyboard,Fellowes Econo/Stor Drawers,Global Leather Task Chair  Black,Inter-Office Recycled Envelopes  Brown Kraft  Button-String 10 x 13   100/Box,JBL Micro Wireless Portable Bluetooth Speaker,Kensington 7 Outlet MasterPiece Power Center,Lexmark MX611dhe Monochrome Laser Printer,Peel & Stick Add-On Corner Pockets,SAFCO Arco Folding Chair,Sanford Liquid Accent Highlighters,Space Solutions HD Industrial Steel Shelving.,Tripp Lite TLP810NET Broadband Surge for Modem/Fax"
"Brendan Murry",22,"BM-11575","808.162","22","95.5816","Furniture,Office Supplies,Technology","Acco Perma 3000 Stacking Storage Drawers,Bush Westfield Collection Bookcases  Medium Cherry Finish,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Carina Media Storage Towers in Natural & Black,Flat Face Poster Frame,GBC Twin Loop Wire Binding Elements,GE 30522EE2,Sony Micro Vault Click 4 GB USB 2.0 Flash Drive,Xerox 1967"
"Brian Moss",48,"BM-11650","7294.185","95","2199.2781","Furniture,Office Supplies,Technology","Acco 6 Outlet Guardian Standard Surge Suppressor,Adjustable Depth Letter/Legal Cart,Belkin 6 Outlet Metallic Surge Strip,Boston 19500 Mighty Mite Electric Pencil Sharpener,Eureka Recycled Copy Paper 8 1/2 x 11  Ream,Fellowes Basic Home/Office Series Surge Protectors,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Howard Miller 13 Diameter Goldtone Round Wall Clock,Ibico Hi-Tech Manual Binding System,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Logitech G19 Programmable Gaming Keyboard,Maxell iVDR EX 500GB Cartridge,Memorex Micro Travel Drive 8 GB,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,netTALK DUO VoIP Telephone Service,Newell 335,OSullivan 3-Shelf Heavy-Duty Bookcases,Panasonic KX T7731-B Digital phone,Prestige Round Ring Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,Rush Hierlooms Collection 1 Thick Stackable Bookcases,Staple envelope,Tennsco 6- and 18-Compartment Lockers,Tyvek Side-Opening Peel & Seel Expanding Envelopes,White Dual Perf Computer Printout Paper  2700 Sheets  1 Part  Heavyweight  20 lbs.  14 7/8 x 11,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Xerox 1895,Xerox 224"
"Bryan Mills",31,"BM-11785","1338.842","44","137.7439","Furniture,Office Supplies,Technology","Acco D-Ring Binder w/DublLock,Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Light Blue,Acme Office Executive Series Stainless Steel Trimmers,Avery 487,Blue Parrot B250XT Professional Grade Wireless Bluetooth Headset with,Iceberg Nesting Folding Chair  19w x 6d x 43h,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Logitech Gaming G510s - Keyboard,Microsoft Natural Ergonomic Keyboard 4000,Portable Personal File Box,Safco Value Mate Series Steel Bookcases  Baked Enamel Finish on Steel  Gray,Sanford Liquid Accent Highlighters,Stiletto Hand Letter Openers,Verbatim Slim CD and DVD Storage Cases  50/Pack"
"Brad Norvell",20,"BN-11470","265.296","15","36.6131","Office Supplies,Technology","Fellowes 8 Outlet Superior Workstation Surge Protector,SanDisk Cruzer 32 GB USB Flash Drive,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Staple magnet,Staples,Xerox 220"
"Bradley Nguyen",63,"BN-11515","1459.344","79","340.7054","Furniture,Office Supplies","Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Belkin Premiere Surge Master II 8-outlet surge protector,Bionaire Personal Warm Mist Humidifier/Vaporizer,DAX Value U-Channel Document Frames  Easel Back,Eldon Gobal File Keepers,Eldon ProFile File N Store Portable File Tub Letter/Legal Size Black,Executive Impressions 12 Wall Clock,GBC Prestige Therm-A-Bind Covers,Memo Book  100 Message Capacity  5 3/8” x 11”,Newell 317,Newell 327,Newell 35,Nu-Dell Float Frame 11 x 14 1/2,Recycled Easel Ring Binders,Safco Industrial Wire Shelving System,Seth Thomas 12 Clock w/ Goldtone Case,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders"
"Bill Overfelt",46,"BO-11350","2682.728","43","278.7770","Furniture,Office Supplies,Technology","Advantus Plastic Paper Clips,Avery 495,Bevis 36 x 72 Conference Tables,Career Cubicle Clock  8 1/4  Black,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,GBC Durable Plastic Covers,Global Stack Chair without Arms  Black,Hon Practical Foundations 30 x 60 Training Table  Light Gray/Charcoal,HP Officejet Pro 8600 e-All-In-One Printer  Copier  Scanner  Fax,Storex Dura Pro Binders,Wilson Jones Elliptical Ring 3 1/2 Capacity Binders  800 sheets,Wilson Jones Legal Size Ring Binders"
"Bobby Odegard",63,"BO-11425","130.83","7","59.4522","Office Supplies","Large Capacity Hanging Post Binders,Manco Dry-Lighter Erasable Highlighter"
"Barry Pond",65,"BP-11050","983.42","30","209.7830","Office Supplies,Technology","Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles  3 7/8 Cut  8L,Fellowes Strictly Business Drawer File  Letter/Legal Size,Konica Minolta magicolor 1690MF Multifunction Printer,Peel & Seel Envelopes,Prang Drawing Pencil Set,SAFCO Mobile Desk Side File  Wire Frame,Wilson Jones Easy Flow II Sheet Lifters"
"Bart Pistole",30,"BP-11095","2442.044","70","433.9751","Furniture,Office Supplies,Technology","Acco Data Flex Cable Posts For Top & Bottom Load Binders  6 Capacity,Acco Pressboard Covers with Storage Hooks  9 1/2 x 11  Executive Red,Advantus T-Pin Paper Clips,Avery 516,Avery Binding System Hidden Tab Executive Style Index Sets,Binder Clips by OIC,Bush Andora Bookcase  Maple/Graphite Gray Finish,Clarity 53712,Eaton Premium Continuous-Feed Paper  25% Cotton  Letter Size  White  1000 Shts/Box,Newell 334,Panasonic KX-TG9471B,REDIFORM Incoming/Outgoing Call Register  11 X 8 1/2  100 Messages,Riverleaf Stik-Withit Designer Note Cubes,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Staple holder,Staples,Tuff Stuff Recycled Round Ring Binders,Wi-Ex zBoost YX540 Cellular Phone Signal Booster,Wilson Jones Century Plastic Molded Ring Binders"
"Becky Pak",46,"BP-11155","1697.861","32","647.3847","Furniture,Office Supplies,Technology","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Disposable Triple-Filter Dust Bags,Eldon 200 Class Desk Accessories  Smoke,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2 x 11,Global Armless Task Chair  Royal Blue,Holmes Replacement Filter for HEPA Air Cleaner  Very Large Room  HEPA Filter,Ibico Presentation Index for Binding Systems,Logitech Wireless Anywhere Mouse MX for PC and Mac,Logitech Z-906 Speaker sys - home theater - 5.1-CH,Xerox 1907,Xerox 1960"
"Ben Peterman",48,"BP-11185","3675.861","69","363.5991","Furniture,Office Supplies,Technology","Avery 509,Avery Arch Ring Binders,Avery Hole Reinforcements,Bush Westfield Collection Bookcases  Fully Assembled,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Col-Erase Pencils with Erasers,Eldon Expressions Desk Accessory  Wood Photo Frame  Mahogany,Eureka Sanitaire  Multi-Pro Heavy-Duty Upright  Disposable Bags,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Hon 2111 Invitation Series Straight Table,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Logitech Desktop MK120 Mouse and keyboard Combo,Logitech Wireless Headset h800,Mitel MiVoice 5330e IP Phone,Newell 312,Nu-Dell Executive Frame,Wilson Jones Ledger-Size  Piano-Hinge Binder  2  Blue,Xerox 1981"
"Benjamin Patterson",19,"BP-11230","1181.49","14","-197.2695","Furniture,Office Supplies,Technology","Avery Heavy-Duty EZD View Binder with Locking Rings,Cisco Unified IP Phone 7945G VoIP phone,Eldon Expressions Wood Desk Accessories  Oak,GE 4 Foot Flourescent Tube  40 Watt,Safco Drafting Table,Xerox 232"
"Beth Paige",26,"BP-11290","2475.157","51","-319.0637","Furniture,Office Supplies","Avery 494,Executive Impressions 16-1/2 Circular Wall Clock,Fellowes Twister Kit  Gray/Clear  3/pkg,Global High-Back Leather Tilter  Burgundy,Global Highback Leather Tilter in Burgundy,Hon 61000 Series Interactive Training Tables,Hon Comfortask Task/Swivel Chairs,Hon Practical Foundations 30 x 60 Training Table  Light Gray/Charcoal,Ibico Hi-Tech Manual Binding System,Ideal Clamps,JM Magazine Binder,Kensington 4 Outlet MasterPiece Compact Power Control Center,Leather Task Chair  Black,Xerox 1899,Xerox 212,Xerox Color Copier Paper  11 x 17  Ream"
"Bill Shonely",34,"BS-11365","10501.653","39","2616.0644","Furniture,Office Supplies,Technology","3D Systems Cube Printer  2nd Generation  Magenta,Eldon Image Series Desk Accessories  Burgundy,Eldon Regeneration Recycled Desk Accessories  Smoke,Holmes Odor Grabber,Hon Olson Stacker Stools,Imation 30456 USB Flash Drive 8GB,Space Solutions HD Industrial Steel Shelving.,Stacking Trays by OIC,Wilson Jones Standard D-Ring Binders"
"Bill Stewart",53,"BS-11380","3887.834","58","-17.5322","Furniture,Office Supplies,Technology","Aluminum Screw Posts,Carina Double Wide Media Storage Towers in Natural & Black,GBC Therma-A-Bind 250T Electric Binding System,Hewlett Packard 610 Color Digital Copier / Printer,Hon 4-Shelf Metal Bookcases,Hon GuestStacker Chair,Letter Size Cart,Logitech Media Keyboard K200,Macally Suction Cup Mount,Panasonic KP-380BK Classic Electric Pencil Sharpener,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Staples,Tenex 46 x 60 Computer Anti-Static Chairmat  Rectangular Shaped"
"Brendan Sweed",45,"BS-11590","2454.928","41","381.7807","Furniture,Office Supplies,Technology","Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,Cardinal Slant-D Ring Binder  Heavy Gauge Vinyl,Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener  Beige,Insertable Tab Indexes For Data Binders,netTALK DUO VoIP Telephone Service,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Sanford Liquid Accent Highlighters,Sauder Cornerstone Collection Library,ShoreTel ShorePhone IP 230 VoIP phone,Wilson Jones Custom Binder Spines & Labels"
"Brian Stugart",21,"BS-11665","3288.110","47","238.7368","Furniture,Office Supplies,Technology","36X48 HARDFLOOR CHAIRMAT,Advantus Panel Wall Certificate Holder - 8.5x11,Carina Media Storage Towers in Natural & Black,DAX Contemporary Wood Frame with Silver Metal Mat  Desktop  11 x 14 Size,Fellowes Recycled Storage Drawers,G.E. Halogen Desk Lamp Bulbs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,RCA ViSYS 25825 Wireless digital phone,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Standard Rollaway File with Lock,Xerox 203"
"Bruce Stewart",59,"BS-11755","2562.382","45","-113.2984","Furniture,Office Supplies,Technology","Acco Glide Clips,Acco PRESSTEX Data Binder with Storage Hooks  Light Blue  9 1/2 X 11,Adams Phone Message Book  200 Message Capacity  8 1/16” x 11”,APC 7 Outlet Network SurgeArrest Surge Protector,Apple iPhone 5,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Bravo II Megaboss 12-Amp Hard Body Upright  Replacement Belts  2 Belts per Pack,Hand-Finished Solid Wood Document Frame,High-Back Leather Managers Chair,Linden 10 Round Wall Clock  Black,REDIFORM Incoming/Outgoing Call Register  11 X 8 1/2  100 Messages,Safco Value Mate Series Steel Bookcases  Baked Enamel Finish on Steel  Gray,Sensible Storage WireTech Storage Systems,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection"
"Bryan Spruell",53,"BS-11800","949.43","22","194.0516","Office Supplies","Avery File Folder Labels,Bulldog Vacuum Base Pencil Sharpener,Cameo Buff Policy Envelopes,Color-Coded Legal Exhibit Labels,Computer Printout Paper with Letter-Trim Fine Perforations,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Sortfiler Multipurpose Personal File Organizer  Black,Xerox 212"
"Beth Thompson",38,"BT-11305","2567.656","33","417.5918","Furniture,Office Supplies,Technology","Acco Hanging Data Binders,DAX Executive Solid Wood Document Frame  Desktop or Hang  Mahogany  5 x 7,GuestStacker Chair with Chrome Finish Legs,Howard Miller 16 Diameter Gallery Wall Clock,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,Logitech G13 Programmable Gameboard with LCD Display,Newell 336,Prang Drawing Pencil Set,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48"
"Bill Tyler",32,"BT-11395","2186.613","38","257.9163","Furniture,Office Supplies,Technology","3M Replacement Filter for Office Air Cleaner for 20 x 33 Room,Aastra 57i VoIP phone,Digium D40 VoIP phone,Easy-staple paper,Eldon Spacemaker Box  Quick-Snap Lid  Clear,Flat Face Poster Frame,GBC Personal VeloBind Strips,Global High-Back Leather Tilter  Burgundy,Lesro Sheffield Collection Coffee Table  End Table  Center Table  Corner Table,Pressboard Covers with Storage Hooks  9 1/2 x 11  Light Blue"
"Bobby Trafton",20,"BT-11440","603.876","16","-77.5256","Furniture,Office Supplies","Atlantic Metals Mobile 2-Shelf Bookcases  Custom Colors,Commercial WindTunnel Clean Air Upright Vacuum  Replacement Belts  Filtration Bags,G.E. Halogen Desk Lamp Bulbs,OSullivan Living Dimensions 5-Shelf Bookcases,Seth Thomas 14 Day/Date Wall Clock,UniKeep View Case Binders,Xerox 1937"
"Brad Thomas",66,"BT-11485","415.196","11","126.8694","Furniture,Office Supplies","DAX Charcoal/Nickel-Tone Document Frame  5 x 7,Kensington 7 Outlet MasterPiece Power Center,Xerox 1950"
"Bradley Talbott",34,"BT-11530","2684.492","44","409.4983","Furniture,Office Supplies,Technology","4009 Highlighters by Sanford,Desktop 3-Pocket Hot File,GuestStacker Chair with Chrome Finish Legs,Kensington 6 Outlet Guardian Standard Surge Protector,Panasonic Kx-TS550,Razer Kraken PRO Over Ear PC and Music Headset,Toshiba IPT2010-SD IP Telephone,Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc  25/Pack,Xerox 1881,Xerox 1924"
"Brian Thompson",70,"BT-11680","3196.752","88","447.7484","Furniture,Office Supplies,Technology","3M Replacement Filter for Office Air Cleaner for 20 x 33 Room,Advantus Map Pennant Flags and Round Head Tacks,Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters  on Rolls  White  250/Roll,Binney & Smith inkTank Desk Highlighter  Chisel Tip  Yellow  12/Box,Colorific Watercolor Pencils,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Fellowes Powershred HS-440 4-Sheet High Security Shredder,Fellowes Staxonsteel Drawer Files,Floodlight Indoor Halogen Bulbs  1 Bulb per Pack  60 Watts,GBC Prepunched Paper  19-Hole  for Binding Systems  24-lb,GBC Recycled VeloBinder Covers,GE General Purpose  Extra Long Life  Showcase & Floodlight Incandescent Bulbs,Performers Binder/Pad Holder  Black,Prismacolor Color Pencil Set,Project Tote Personal File,Rogers Profile Extra Capacity Storage Tub,Staple-based wall hangings,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Wilson Jones Active Use Binders,Xerox 209"
"Benjamin Venier",46,"BV-11245","1523.273","49","315.2214","Furniture,Office Supplies,Technology","9-3/4 Diameter Round Wall Clock,AT&T 841000 Phone,Avery Self-Adhesive Photo Pockets for Polaroid Photos,Boston 19500 Mighty Mite Electric Pencil Sharpener,C-Line Magnetic Cubicle Keepers  Clear Polypropylene,Cardinal EasyOpen D-Ring Binders,DXL Angle-View Binders with Locking Rings by Samsill,GBC Instant Report Kit,Global Leather Highback Executive Chair with Pneumatic Height Adjustment  Black,iOttie HLCRIO102 Car Mount,Recycled Data-Pak for Archival Bound Computer Printouts  12-1/2 x 12-1/2 x 16,Xerox 1898,Xerox 1988,Xerox 21"
"Barry Weirich",30,"BW-11065","385.516","8","-58.2866","Furniture,Office Supplies","Eldon Image Series Desk Accessories  Burgundy,Strathmore Photo Frame Cards,Tennsco Stur-D-Stor Boltless Shelving  5 Shelves  24 Deep  Sand"
"Bart Watters",50,"BW-11110","4750.358","74","921.2574","Furniture,Office Supplies,Technology","Adams Phone Message Book  Professional  400 Message Capacity  5 3/6” x 11”,Avery White Multi-Purpose Labels,BIC Liqua Brite Liner,Computer Printout Paper with Letter-Trim Perforations,Contemporary Wood/Metal Frame,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Fellowes Twister Kit  Gray/Clear  3/pkg,GBC Premium Transparent Covers with Diagonal Lined Pattern,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Howard Miller Distant Time Traveler Alarm Clock,Lexmark MX611dhe Monochrome Laser Printer,Newell 345,RCA ViSYS 25825 Wireless digital phone,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Sony 8GB Class 10 Micro SDHC R40 Memory Card,Sortfiler Multipurpose Personal File Organizer  Black,Xerox 205"
"Ben Wallace",31,"BW-11200","1738.406","49","246.9973","Furniture,Office Supplies,Technology","Advantus Push Pins  Aluminum Head,BlackBerry Q10,GBC Twin Loop Wire Binding Elements  9/16 Spine  Black,Global Executive Mid-Back Managers Chair,Metal Folding Chairs  Beige  4/Carton,Newell 351,Prestige Round Ring Binders,Rogers Profile Extra Capacity Storage Tub,Seth Thomas 14 Day/Date Wall Clock,Xerox 217"
"Carol Adams",19,"CA-11965","3789.7228","29","1143.3817","Furniture,Office Supplies,Technology","Avery Poly Binder Pockets,GuestStacker Chair with Chrome Finish Legs,Hewlett Packard 610 Color Digital Copier / Printer,Newell 311,OSullivan Manor Hill 2-Door Library in Brianna Oak,Safco Value Mate Series Steel Bookcases  Baked Enamel Finish on Steel  Gray,Security-Tint Envelopes,Self-Adhesive Address Labels for Typewriters by Universal,Sharp 1540cs Digital Laser Copier,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders"
"Cathy Armstrong",67,"CA-12055","1679.724","49","211.2559","Furniture,Office Supplies,Technology","Acco Flexible ACCOHIDE Square Ring Data Binder  Dark Blue  11 1/2 X 14 7/8,Acco Four Pocket Poly Ring Binder with Label Holder  Smoke  1,Acco Hanging Data Binders,Brown Kraft Recycled Envelopes,Chromcraft 48 x 96 Racetrack Double Pedestal Table,GBC Premium Transparent Covers with Diagonal Lined Pattern,Kensington 4 Outlet MasterPiece Compact Power Control Center,Plantronics S12 Corded Telephone Headset System,Stiletto Hand Letter Openers,V7 USB Numeric Keypad"
"Christina Anderson",49,"CA-12265","2648.2872","65","279.6183","Furniture,Office Supplies,Technology","Avery 481,BIC Brite Liner Grip Highlighters  Assorted  5/Pack,Cardinal Slant-D Ring Binder  Heavy Gauge Vinyl,Eberhard Faber 3 1/2 Golf Pencils,GE 30524EE4,Imation Swivel Flash Drive USB flash drive - 8 GB,iOttie XL Car Mount,Lesro Round Back Collection Coffee Table  End Table,Logitech M510 Wireless Mouse,Micro Innovations USB RF Wireless Keyboard with Mouse,Newell 35,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Rush Hierlooms Collection Rich Wood Bookcases,SlimView Poly Binder  3/8,Storex Dura Pro Binders,Tenex Traditional Chairmats for Medium Pile Carpet  Standard Lip  36 x 48,Xerox 1952"
"Christine Abelman",68,"CA-12310","1421.954","25","246.0218","Furniture,Office Supplies,Technology","Acco Hanging Data Binders,AT&T 17929 Lendline Telephone,Avery 3 1/2 Diskette Storage Pages  10/Pack,Barricks 18 x 48 Non-Folding Utility Table with Bottom Storage Shelf,Fiskars Spring-Action Scissors,Iceberg Mobile Mega Data/Printer Cart ,Imation Clip USB flash drive - 8 GB,Polycom VVX 310 VoIP phone,Recycled Interoffice Envelopes with String and Button Closure  10 x 13,Safco Commercial Shelving,WD My Passport Ultra 1TB Portable External Hard Drive"
"Cynthia Arntzen",57,"CA-12775","3041.566","72","204.4895","Furniture,Office Supplies,Technology","Acme Titanium Bonded Scissors,Advantus Panel Wall Acrylic Frame,Bevis Boat-Shaped Conference Table,BlackBerry Q10,DAX Cubicle Frames  8-1/2 x 11,GBC Recycled Grain Textured Covers,Global Leather Executive Chair,Harbour Creations 67200 Series Stacking Chairs,Ibico Covers for Plastic or Wire Binding Elements,Maxell 4.7GB DVD+RW 3/Pack,Maxell Pro 80 Minute CD-R  10/Pack,Prang Drawing Pencil Set,Sanitaire Vibra Groomer IR Commercial Upright Vacuum  Replacement Belts,Self-Adhesive Ring Binder Labels,Smead Alpha-Z Color-Coded Second Alphabetical Labels and Starter Set,Xerox 1941,Xerox 1995"
"Cassandra Brandow",43,"CB-12025","6076.139","122","150.2089","Furniture,Office Supplies,Technology","6 Cubicle Wall Clock  Black,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand ,Avery 519,Avery Durable Plastic 1 Binders,Binney & Smith Crayola Metallic Colored Pencils  8-Color Set,Binney & Smith inkTank Erasable Desk Highlighter  Chisel Tip  Yellow  12/Box,Carina Double Wide Media Storage Towers in Natural & Black,Eldon Wave Desk Accessories,Eureka Recycled Copy Paper 8 1/2 x 11  Ream,GBC Pre-Punched Binding Paper  Plastic  White  8-1/2 x 11,GBC Wire Binding Combs,Hon Racetrack Conference Tables,Hoover Commercial SteamVac,Hot File 7-Pocket  Floor Stand,Ibico Hi-Tech Manual Binding System,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Kensington 4 Outlet MasterPiece Compact Power Control Center,Newell 324,OSullivan 2-Door Barrister Bookcase in Odessa Pine,Poly String Tie Envelopes,Redi-Strip #10 Envelopes  4 1/8 x 9 1/2,Space Solutions Commercial Steel Shelving,Staples in misc. colors,Xerox 1945,Xerox 215"
"Christy Brittain",47,"CB-12415","1949.200","44","272.3883","Furniture,Office Supplies,Technology","Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,ACCOHIDE 3-Ring Binder  Blue  1,Acme Titanium Bonded Scissors,Advantus Rolling Drawer Organizers,Bionaire 99.97% HEPA Air Cleaner,DAX Cubicle Frames  8-1/2 x 11,Heavy-Duty E-Z-D Binders,Hewlett Packard LaserJet 3310 Copier,IBM Multi-Purpose Copy Paper  8 1/2 x 11  Case,Insertable Tab Post Binder Dividers,Newell 316,Tops Green Bar Computer Printout Paper"
"Claudia Bergmann",63,"CB-12535","4246.4555","74","1049.5601","Furniture,Office Supplies,Technology","4009 Highlighters,Avery Arch Ring Binders,Bush Andora Bookcase  Maple/Graphite Gray Finish,C-Line Magnetic Cubicle Keepers  Clear Polypropylene,Dana Halogen Swing-Arm Architect Lamp,Eldon Regeneration Recycled Desk Accessories  Smoke,Global Leather and Oak Executive Chair  Black,Iceberg Mobile Mega Data/Printer Cart ,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Laser & Ink Jet Business Envelopes,Logitech G700s Rechargeable Gaming Mouse,Logitech Wireless Marathon Mouse M705,Newell 313,Novimex Fabric Task Chair,Quartet Omega Colored Chalk  12/Pack,SAFCO Mobile Desk Side File  Wire Frame,Tops Wirebound Message Log Books,Wilson Jones Ledger-Size  Piano-Hinge Binder  2  Blue,Xerox 1959"
"Chad Cunningham",30,"CC-12100","1770.945","46","208.5912","Furniture,Office Supplies,Technology","Acco Pressboard Covers with Storage Hooks  14 7/8 x 11  Executive Red,Avery Heavy-Duty EZD View Binder with Locking Rings,DMI Arturo Collection Mission-style Design Wood Chair,Easy-staple paper,Executive Impressions 14 Contract Wall Clock,First Data FD10 PIN Pad,GBC Standard Plastic Binding Systems Combs,GE 30524EE4,Logitech Desktop MK120 Mouse and keyboard Combo,Newell 328,Panasonic KX T7731-B Digital phone,Permanent Self-Adhesive File Folder Labels for Typewriters  1 1/8 x 3 1/2  White,Samsung Rugby III"
"Charles Crestani",21,"CC-12145","2471.650","31","392.2825","Furniture,Office Supplies,Technology","Bady BDG101FRU Card Printer,Computer Room Manger  14,Martin-Yale Premier Letter Opener,Metal Folding Chairs  Beige  4/Carton,Nu-Dell Leatherette Frames,Prismacolor Color Pencil Set,Wilson Jones Custom Binder Spines & Labels,Xerox 189,Xerox 1897,Xerox 1931,Xerox 1954"
